cohort,seed,arm,gate,budget,random_seed,domain,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,group_macro_unsafe_recall_all,group_macro_unsafe_recall_all_eligible_groups,group_macro_FPR_all,group_macro_FPR_all_eligible_groups,group_macro_coverage,group_macro_coverage_eligible_groups,selected_common_point,recall_target_met,FPR_target_met,role
old_test_800,44,L_relation,G_uncertainty,0.1,,combined,91,1,35,61,35,56,4,0,0,1,23,82,14,0,1,0,0,2,79,12,1,1,0,0,1,0,0,0,96,7,0.9479166666666666,0.9895833333333334,1.0,1.0,0.06557377049180328,0.06666666666666667,0.23958333333333334,23,0.23958333333333334,53062,10331,0.9488749345892203,-1,1.0,7,0.06349206349206349,7,0.989010989010989,7,False,True,False,existing_point_reference_not_selection
old_test_800,44,L_relation,G_uncertainty,0.1,,slack,12,0,3,9,3,9,0,0,0,0,5,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.4166666666666667,5,0.4166666666666667,11029,2196,1.0,0,1.0,1,0.0,1,1.0,1,False,True,True,existing_point_reference_not_selection
old_test_800,44,L_relation,G_uncertainty,0.1,,workspace,79,1,32,52,32,47,4,0,0,1,18,70,14,0,1,0,0,2,67,12,1,1,0,0,1,0,0,0,84,6,0.9404761904761905,0.9880952380952381,1.0,1.0,0.07692307692307693,0.0784313725490196,0.21428571428571427,18,0.21428571428571427,42033,8135,0.9403540903540903,-1,1.0,6,0.07407407407407407,6,0.9871794871794872,6,False,True,False,existing_point_reference_not_selection
old_test_800,44,L_relation,G_uncertainty,0.25,,combined,93,1,35,61,35,58,2,0,0,1,33,82,14,2,1,0,0,0,81,12,1,1,0,0,1,0,0,0,96,7,0.96875,0.9895833333333334,1.0,1.0,0.03278688524590164,0.03333333333333333,0.34375,33,0.34375,73812,14741,0.9692830978545265,1,1.0,7,0.031746031746031744,7,0.989010989010989,7,False,True,True,existing_point_reference_not_selection
old_test_800,44,L_relation,G_uncertainty,0.25,,slack,12,0,3,9,3,9,0,0,0,0,7,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5833333333333334,7,0.5833333333333334,15331,3094,1.0,0,1.0,1,0.0,1,1.0,1,False,True,True,existing_point_reference_not_selection
old_test_800,44,L_relation,G_uncertainty,0.25,,workspace,81,1,32,52,32,49,2,0,0,1,26,70,14,2,1,0,0,0,69,12,1,1,0,0,1,0,0,0,84,6,0.9642857142857143,0.9880952380952381,1.0,1.0,0.038461538461538464,0.0392156862745098,0.30952380952380953,26,0.30952380952380953,58481,11647,0.9641636141636142,1,1.0,6,0.037037037037037035,6,0.9871794871794872,6,False,True,True,existing_point_reference_not_selection
old_test_800,44,L_relation,G_uncertainty,0.5,,combined,93,1,35,61,35,58,2,0,0,1,54,82,14,2,1,0,0,0,81,12,1,1,0,0,1,0,0,0,96,7,0.96875,0.9895833333333334,1.0,1.0,0.03278688524590164,0.03333333333333333,0.5625,54,0.5625,133325,24047,0.9692830978545265,1,1.0,7,0.031746031746031744,7,0.989010989010989,7,False,True,True,existing_point_reference_not_selection
old_test_800,44,L_relation,G_uncertainty,0.5,,slack,12,0,3,9,3,9,0,0,0,0,8,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,8,0.6666666666666666,16888,3527,1.0,0,1.0,1,0.0,1,1.0,1,False,True,True,existing_point_reference_not_selection
old_test_800,44,L_relation,G_uncertainty,0.5,,workspace,81,1,32,52,32,49,2,0,0,1,46,70,14,2,1,0,0,0,69,12,1,1,0,0,1,0,0,0,84,6,0.9642857142857143,0.9880952380952381,1.0,1.0,0.038461538461538464,0.0392156862745098,0.5476190476190477,46,0.5476190476190477,116437,20520,0.9641636141636142,1,1.0,6,0.037037037037037035,6,0.9871794871794872,6,False,True,True,existing_point_reference_not_selection
transfer_2048,42,L_direct,G_uncertainty,0.1,,combined,236,0,48,216,26,210,6,22,0,0,50,246,18,21,1,0,0,22,220,16,2,0,0,0,0,0,0,0,264,12,0.8939393939393939,1.0,0.5416666666666666,0.5416666666666666,0.027777777777777776,0.027777777777777776,0.1893939393939394,50,0.1893939393939394,91344,3636,0.8928303907439409,20,0.49872097599370324,11,0.023411206587898317,12,1.0,12,False,False,True,existing_point_reference_not_selection
