cohort,domain,gate,budget,arm,seeds,unsafe_recall_all_mean,unsafe_recall_all_sd,unsafe_recall_all_min,unsafe_recall_all_max,FN_mean,FN_sd,FN_min,FN_max,FPR_all_mean,FPR_all_sd,FPR_all_min,FPR_all_max,FP_mean,FP_sd,FP_min,FP_max,correct_over_N_mean,correct_over_N_sd,correct_over_N_min,correct_over_N_max,coverage_mean,coverage_sd,coverage_min,coverage_max,actual_call_rate_mean,actual_call_rate_sd,actual_call_rate_min,actual_call_rate_max,abstain_model_mean,abstain_model_sd,abstain_model_min,abstain_model_max,abstain_technical_mean,abstain_technical_sd,abstain_technical_min,abstain_technical_max,abstain_input_overflow_mean,abstain_input_overflow_sd,abstain_input_overflow_min,abstain_input_overflow_max,group_macro_unsafe_recall_all_mean,group_macro_unsafe_recall_all_sd,group_macro_unsafe_recall_all_min,group_macro_unsafe_recall_all_max,group_macro_FPR_all_mean,group_macro_FPR_all_sd,group_macro_FPR_all_min,group_macro_FPR_all_max,S_fit_wrong_to_correct_mean,S_fit_wrong_to_correct_sd,S_fit_wrong_to_correct_min,S_fit_wrong_to_correct_max,S_fit_correct_to_wrong_mean,S_fit_correct_to_wrong_sd,S_fit_correct_to_wrong_min,S_fit_correct_to_wrong_max,S_fit_correct_to_abstain_mean,S_fit_correct_to_abstain_sd,S_fit_correct_to_abstain_min,S_fit_correct_to_abstain_max,S_overflow_recovery_correct_mean,S_overflow_recovery_correct_sd,S_overflow_recovery_correct_min,S_overflow_recovery_correct_max,worst_recall_seed
old_test_800,workspace,G_random,0.5,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.05384615384615385,0.018014417303072305,0.03365384615384616,0.06826923076923078,2.8,0.9367496997597596,1.75,3.55,0.9666666666666667,0.011151782139997145,0.9577380952380952,0.9791666666666666,1.0,0.0,1.0,1.0,0.5357142857142857,0.0429232294698094,0.4880952380952381,0.5714285714285714,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.05416666666666666,0.01734721666221777,0.034722222222222224,0.06805555555555555,0.7833333333333333,0.732006375199925,0,1.45,0.9166666666666666,0.14433756729740643,0.75,1,0,0.0,0,0,13,0.0,13,13,42
old_test_800,combined,G_overflow,,L_relation,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.04371584699453552,0.02504139724019585,0.01639344262295082,0.06557377049180328,2.6666666666666665,1.5275252316519468,1,4,0.9618055555555556,0.0159117211630411,0.9479166666666666,0.9791666666666666,0.9895833333333334,0.0,0.9895833333333334,0.9895833333333334,0.14583333333333334,0.0,0.14583333333333334,0.14583333333333334,0,0.0,0,0,1,0.0,1,1,0,0.0,0,0,1.0,0.0,1.0,1.0,0.042328042328042326,0.024246432248443597,0.015873015873015872,0.06349206349206349,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,12,0.0,12,12,42
old_test_800,slack,G_overflow,,L_relation,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,workspace,G_overflow,,L_relation,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.05128205128205129,0.0293754852240759,0.019230769230769232,0.07692307692307693,2.6666666666666665,1.5275252316519468,1,4,0.9563492063492063,0.018184824186332695,0.9404761904761905,0.9761904761904762,0.9880952380952381,0.0,0.9880952380952381,0.9880952380952381,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0,0.0,0,0,1,0.0,1,1,0,0.0,0,0,1.0,0.0,1.0,1.0,0.04938271604938271,0.028287504289850864,0.018518518518518517,0.07407407407407407,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,12,0.0,12,12,42
old_test_800,combined,L_all,,L_relation,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.03278688524590164,0.0,0.03278688524590164,0.03278688524590164,2,0.0,2,2,0.96875,0.0,0.96875,0.96875,0.9895833333333334,0.0,0.9895833333333334,0.9895833333333334,1.0,0.0,1.0,1.0,0,0.0,0,0,1,0.0,1,1,0,0.0,0,0,1.0,0.0,1.0,1.0,0.031746031746031744,0.0,0.031746031746031744,0.031746031746031744,1.6666666666666667,1.5275252316519468,0,3,1,0.0,1,1,0,0.0,0,0,12,0.0,12,12,42
old_test_800,slack,L_all,,L_relation,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,workspace,L_all,,L_relation,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,2,0.0,2,2,0.9642857142857143,0.0,0.9642857142857143,0.9642857142857143,0.9880952380952381,0.0,0.9880952380952381,0.9880952380952381,1.0,0.0,1.0,1.0,0,0.0,0,0,1,0.0,1,1,0,0.0,0,0,1.0,0.0,1.0,1.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,1.6666666666666667,1.5275252316519468,0,3,1,0.0,1,1,0,0.0,0,0,12,0.0,12,12,42
old_test_800,combined,G_uncertainty,0.1,L_relation,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.03278688524590164,0.028394275533916023,0.01639344262295082,0.06557377049180328,2,1.7320508075688772,1,4,0.96875,0.018042195912175804,0.9479166666666666,0.9791666666666666,0.9895833333333334,0.0,0.9895833333333334,0.9895833333333334,0.21180555555555555,0.026214702900245662,0.1875,0.23958333333333334,0,0.0,0,0,1,0.0,1,1,0,0.0,0,0,1.0,0.0,1.0,1.0,0.031746031746031744,0.02749286996141075,0.015873015873015872,0.06349206349206349,1,1.7320508075688772,0,3,0.3333333333333333,0.5773502691896257,0,1,0,0.0,0,0,12,0.0,12,12,42
old_test_800,slack,G_uncertainty,0.1,L_relation,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.22222222222222224,0.20971762320196527,0.0,0.4166666666666667,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,workspace,G_uncertainty,0.1,L_relation,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.038461538461538464,0.03330866937632457,0.019230769230769232,0.07692307692307693,2,1.7320508075688772,1,4,0.9642857142857143,0.020619652471058052,0.9404761904761905,0.9761904761904762,0.9880952380952381,0.0,0.9880952380952381,0.9880952380952381,0.21031746031746032,0.0299596604574236,0.17857142857142858,0.23809523809523808,0,0.0,0,0,1,0.0,1,1,0,0.0,0,0,1.0,0.0,1.0,1.0,0.037037037037037035,0.032075014954979206,0.018518518518518517,0.07407407407407407,1,1.7320508075688772,0,3,0.3333333333333333,0.5773502691896257,0,1,0,0.0,0,0,12,0.0,12,12,42
