cohort,domain,seed,arm,budget,repetitions,correct_mean,correct_sd,correct_over_N_mean,correct_over_N_sd,binary_net_correction_mean,binary_net_correction_sd,actual_call_rate_mean,actual_call_rate_sd,incremental_correct_vs_overflow_mean,incremental_correct_vs_overflow_sd,group_macro_correct_over_N_mean,group_macro_correct_over_N_sd
old_test_800,combined,44,L_relation,0.5,20,92.45,0.8870412083230169,0.9630208333333333,0.009240012586698088,0.45,0.8870412083230169,0.5625,0.0,0.45,0.8870412083230169,0.9636708529565673,0.009051440901255264
transfer_2048,combined,42,L_direct,0.1,20,224.85,1.954078056944394,0.8517045454545454,0.007401810821759062,8.85,1.954078056944394,0.1893939393939394,0.0,8.85,1.954078056944394,0.8350715523601026,0.012026865391432705
transfer_2048,banking,42,L_direct,0.1,20,61.85,1.954078056944394,0.710919540229885,0.02246066732119993,8.85,1.954078056944394,0.367816091954023,0.0,8.85,1.954078056944394,0.7551052188552189,0.024053730782865382
transfer_2048,travel,42,L_direct,0.1,20,163,0.0,0.9209039548022598,0.0,0,0.0,0.1016949152542373,0.0,0,0.0,0.9150378858649861,0.0
transfer_2048,combined,42,L_direct,0.25,20,224.95,2.0384462607326044,0.8520833333333333,0.007721387351259859,8.95,2.0384462607326044,0.19318181818181818,0.0,8.95,2.0384462607326044,0.8355660809796311,0.013517826926678344
transfer_2048,banking,42,L_direct,0.25,20,61.95,2.0384462607326044,0.7120689655172414,0.023430416790029933,8.95,2.0384462607326044,0.3793103448275862,0.0,8.95,2.0384462607326044,0.7560942760942762,0.027035653853356673
transfer_2048,travel,42,L_direct,0.25,20,163,0.0,0.9209039548022598,0.0,0,0.0,0.1016949152542373,0.0,0,0.0,0.9150378858649861,0.0
transfer_2048,combined,42,L_direct,0.5,20,230.75,2.9177316351468723,0.8740530303030303,0.01105201376949572,14.75,2.9177316351468723,0.30303030303030304,0.0,14.75,2.9177316351468723,0.8601840843512838,0.017829839749559036
transfer_2048,banking,42,L_direct,0.5,20,66.85,2.641271623569542,0.7683908045977011,0.030359443949075204,13.85,2.641271623569542,0.5862068965517241,0.0,13.85,2.641271623569542,0.8014772727272728,0.0333459669909214
transfer_2048,travel,42,L_direct,0.5,20,163.9,1.0208355710680808,0.9259887005649717,0.005767432604904418,0.9,1.0208355710680808,0.1638418079096045,0.0,0.9,1.0208355710680808,0.9188908959752949,0.00931841803348098
transfer_2048,combined,42,L_relation,0.1,20,223.85,1.8431951662948316,0.8479166666666667,0.006981799872328901,9.15,1.6630662866176473,0.1893939393939394,0.0,8.85,1.8431951662948316,0.8329298454357869,0.012602148357582683
transfer_2048,banking,42,L_relation,0.1,20,61.85,1.8431951662948316,0.710919540229885,0.0211861513367222,9.15,1.6630662866176473,0.367816091954023,0.0,8.85,1.8431951662948316,0.7580681818181818,0.025204296715165334
transfer_2048,travel,42,L_relation,0.1,20,162,0.0,0.9152542372881356,0.0,0,0.0,0.1016949152542373,0.0,0,0.0,0.907791509053392,0.0
transfer_2048,combined,42,L_relation,0.25,20,223.95,1.9049796241485242,0.8482954545454545,0.007215831909653495,9.25,1.743408639479146,0.19318181818181818,0.0,8.95,1.9049796241485242,0.8334243740553156,0.01383723661022658
transfer_2048,banking,42,L_relation,0.25,20,61.95,1.9049796241485242,0.7120689655172414,0.021896317518948553,9.25,1.743408639479146,0.3793103448275862,0.0,8.95,1.9049796241485242,0.7590572390572391,0.027674473220453133
transfer_2048,travel,42,L_relation,0.25,20,162,0.0,0.9152542372881356,0.0,0,0.0,0.1016949152542373,0.0,0,0.0,0.907791509053392,0.0
transfer_2048,combined,42,L_relation,0.5,20,229.85,2.7003898354048617,0.8706439393939394,0.010228749376533557,15.4,2.583347481568501,0.30303030303030304,0.0,14.85,2.7003898354048617,0.8594396838242746,0.016667146097746537
