cohort,seed,arm,gate,budget,random_seed,domain,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,incremental_calls_vs_overflow,incremental_correct_vs_overflow
old_test_800,42,L_direct,G_random,0.25,12,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,84148,2756,0.989010989010989,0,25,0
old_test_800,42,L_direct,G_random,0.25,13,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,79475,2728,0.989010989010989,0,25,0
old_test_800,42,L_direct,G_random,0.25,14,combined,93,0,35,61,35,58,3,0,0,0,39,82,14,0,2,0,0,0,80,13,1,0,0,0,0,0,0,0,96,7,0.96875,1.0,1.0,1.0,0.04918032786885246,0.04918032786885246,0.40625,39,0.40625,67559,2698,0.9686028257456829,-2,25,-2
old_test_800,42,L_direct,G_random,0.25,15,combined,93,0,35,61,35,58,3,0,0,0,39,82,14,0,2,0,0,0,80,13,1,0,0,0,0,0,0,0,96,7,0.96875,1.0,1.0,1.0,0.04918032786885246,0.04918032786885246,0.40625,39,0.40625,73236,2752,0.9686028257456829,-2,25,-2
old_test_800,42,L_direct,G_random,0.25,16,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,73726,2630,0.989010989010989,0,25,0
old_test_800,42,L_direct,G_random,0.25,17,combined,94,0,35,61,35,59,2,0,0,0,39,82,14,0,1,0,0,0,81,13,1,0,0,0,0,0,0,0,96,7,0.9791666666666666,1.0,1.0,1.0,0.03278688524590164,0.03278688524590164,0.40625,39,0.40625,65559,2607,0.978806907378336,-1,25,-1
old_test_800,42,L_direct,G_random,0.25,18,combined,93,0,35,61,35,58,3,0,0,0,39,82,14,0,2,0,0,0,80,13,1,0,0,0,0,0,0,0,96,7,0.96875,1.0,1.0,1.0,0.04918032786885246,0.04918032786885246,0.40625,39,0.40625,75787,2750,0.9686028257456829,-2,25,-2
old_test_800,42,L_direct,G_random,0.25,19,combined,94,0,35,61,35,59,2,0,0,0,39,82,14,0,1,0,0,0,81,13,1,0,0,0,0,0,0,0,96,7,0.9791666666666666,1.0,1.0,1.0,0.03278688524590164,0.03278688524590164,0.40625,39,0.40625,77019,2697,0.978806907378336,-1,25,-1
old_test_800,42,L_direct,G_uncertainty,0.5,,combined,94,0,35,61,35,59,2,0,0,0,50,82,14,0,1,0,0,0,81,13,1,0,0,0,0,0,0,0,96,7,0.9791666666666666,1.0,1.0,1.0,0.03278688524590164,0.03278688524590164,0.5208333333333334,50,0.5208333333333334,117655,3717,0.978806907378336,-1,36,-1
old_test_800,42,L_direct,G_random,0.5,0,combined,94,0,35,61,35,59,2,0,0,0,50,82,14,0,1,0,0,0,81,13,1,0,0,0,0,0,0,0,96,7,0.9791666666666666,1.0,1.0,1.0,0.03278688524590164,0.03278688524590164,0.5208333333333334,50,0.5208333333333334,92426,3415,0.978806907378336,-1,36,-1
